{'loss': 0.0004, 'grad_norm': 10.177204132080078, 'learning_rate': 0.0, 'num_tokens': 3114.0, 'completions/mean_length': 114.625, 'completions/min_length': 82.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.25, 'completions/mean_terminated_length': 110.16667175292969, 'completions/min_terminated_length': 82.0, 'completions/max_terminated_length': 127.0, 'rewards/format_reward_fn/mean': 0.15000000596046448, 'rewards/format_reward_fn/std': 0.08944272249937057, 'rewards/kisan_reward_fn/mean': 0.18125000596046448, 'rewards/kisan_reward_fn/std': 0.08732125163078308, 'reward': 0.33125001192092896, 'reward_std': 0.16422486305236816, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 0.39660185854882, 'epoch': 0.02}
{'loss': 0.0032, 'grad_norm': 13.714370727539062, 'learning_rate': 9.074074074074075e-06, 'num_tokens': 36404.0, 'completions/mean_length': 112.4375, 'completions/min_length': 79.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.3125, 'completions/mean_terminated_length': 105.36363983154297, 'completions/min_terminated_length': 79.0, 'completions/max_terminated_length': 123.0, 'rewards/format_reward_fn/mean': 0.15000000596046448, 'rewards/format_reward_fn/std': 0.08944272249937057, 'rewards/kisan_reward_fn/mean': 0.17499999701976776, 'rewards/kisan_reward_fn/std': 0.08164966106414795, 'reward': 0.32499998807907104, 'reward_std': 0.15172486007213593, 'frac_reward_zero_std': 0.25, 'completion_length': 128.0, 'kl': 3.248730517923832, 'epoch': 0.2}
{'loss': 0.0004, 'grad_norm': 8.443909645080566, 'learning_rate': 8.888888888888888e-06, 'num_tokens': 39485.0, 'completions/mean_length': 112.5625, 'completions/min_length': 70.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.4375, 'completions/mean_terminated_length': 100.55555725097656, 'completions/min_terminated_length': 70.0, 'completions/max_terminated_length': 125.0, 'rewards/format_reward_fn/mean': 0.125, 'rewards/format_reward_fn/std': 0.10000000149011612, 'rewards/kisan_reward_fn/mean': 0.15625, 'rewards/kisan_reward_fn/std': 0.09105859696865082, 'reward': 0.28125, 'reward_std': 0.163018137216568, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 0.42113010538741946, 'epoch': 0.22}   
{'loss': 0.001, 'grad_norm': 14.050986289978027, 'learning_rate': 8.703703703703705e-06, 'num_tokens': 42471.0, 'completions/mean_length': 106.625, 'completions/min_length': 52.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.3125, 'completions/mean_terminated_length': 96.90909576416016, 'completions/min_terminated_length': 52.0, 'completions/max_terminated_length': 123.0, 'rewards/format_reward_fn/mean': 0.13750000298023224, 'rewards/format_reward_fn/std': 0.09574271738529205, 'rewards/kisan_reward_fn/mean': 0.19062501192092896, 'rewards/kisan_reward_fn/std': 0.10680004954338074, 'reward': 0.328125, 'reward_std': 0.13988018035888672, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 0.9761328361928463, 'epoch': 0.23}
{'loss': 0.0159, 'grad_norm': 13.784717559814453, 'learning_rate': 8.518518518518519e-06, 'num_tokens': 45591.0, 'completions/mean_length': 115.0, 'completions/min_length': 88.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.4375, 'completions/mean_terminated_length': 104.8888931274414, 'completions/min_terminated_length': 88.0, 'completions/max_terminated_length': 123.0, 'rewards/format_reward_fn/mean': 0.11249999701976776, 'rewards/format_reward_fn/std': 0.10246951133012772, 'rewards/kisan_reward_fn/mean': 0.140625, 'rewards/kisan_reward_fn/std': 0.0860595777630806, 'reward': 0.25312501192092896, 'reward_std': 0.15289834141731262, 'frac_reward_zero_std': 0.25, 'completion_length': 128.0, 'kl': 15.892088438384235, 'epoch': 0.25}
{'loss': 0.6207, 'grad_norm': 155.43771362304688, 'learning_rate': 8.333333333333334e-06, 'num_tokens': 48688.0, 'completions/mean_length': 113.5625, 'completions/min_length': 74.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.4375, 'completions/mean_terminated_length': 102.33333587646484, 'completions/min_terminated_length': 74.0, 'completions/max_terminated_length': 123.0, 'rewards/format_reward_fn/mean': 0.13750000298023224, 'rewards/format_reward_fn/std': 0.09574271738529205, 'rewards/kisan_reward_fn/mean': 0.171875, 'rewards/kisan_reward_fn/std': 0.09303898364305496, 'reward': 0.30937498807907104, 'reward_std': 0.158183753490448, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 620.7437325339706, 'epoch': 0.27}
{'loss': 0.0032, 'grad_norm': 4.430025100708008, 'learning_rate': 8.148148148148148e-06, 'num_tokens': 51783.0, 'completions/mean_length': 113.4375, 'completions/min_length': 85.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.375, 'completions/mean_terminated_length': 104.70000457763672, 'completions/min_terminated_length': 85.0, 'completions/max_terminated_length': 128.0, 'rewards/format_reward_fn/mean': 0.13750000298023224, 'rewards/format_reward_fn/std': 0.09574271738529205, 'rewards/kisan_reward_fn/mean': 0.16562500596046448, 'rewards/kisan_reward_fn/std': 0.08702251315116882, 'reward': 0.3031250238418579, 'reward_std': 0.14934465289115906, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 3.158686416281853, 'epoch': 0.28}
{'loss': 0.0025, 'grad_norm': 5.896250247955322, 'learning_rate': 7.962962962962963e-06, 'num_tokens': 54889.0, 'completions/mean_length': 114.125, 'completions/min_length': 81.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.375, 'completions/mean_terminated_length': 105.80000305175781, 'completions/min_terminated_length': 81.0, 'completions/max_terminated_length': 126.0, 'rewards/format_reward_fn/mean': 0.125, 'rewards/format_reward_fn/std': 0.10000000149011612, 'rewards/kisan_reward_fn/mean': 0.16249999403953552, 'rewards/kisan_reward_fn/std': 0.09746795147657394, 'reward': 0.2875000238418579, 'reward_std': 0.17410025000572205, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 2.549064011545852, 'epoch': 0.3}
{'loss': 0.0719, 'grad_norm': 28.118825912475586, 'learning_rate': 7.77777777777778e-06, 'num_tokens': 57842.0, 'completions/mean_length': 104.5625, 'completions/min_length': 69.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.3125, 'completions/mean_terminated_length': 93.90909576416016, 'completions/min_terminated_length': 69.0, 'completions/max_terminated_length': 123.0, 'rewards/format_reward_fn/mean': 0.15000000596046448, 'rewards/format_reward_fn/std': 0.08944272249937057, 'rewards/kisan_reward_fn/mean': 0.17499999701976776, 'rewards/kisan_reward_fn/std': 0.08164966106414795, 'reward': 0.32500001788139343, 'reward_std': 0.10559466481208801, 'frac_reward_zero_std': 0.25, 'completion_length': 128.0, 'kl': 71.87774765491486, 'epoch': 0.32}
{'loss': 0.0214, 'grad_norm': 24.643810272216797, 'learning_rate': 7.592592592592594e-06, 'num_tokens': 60884.0, 'completions/mean_length': 110.125, 'completions/min_length': 82.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.25, 'completions/mean_terminated_length': 104.16667175292969, 'completions/min_terminated_length': 82.0, 'completions/max_terminated_length': 126.0, 'rewards/format_reward_fn/mean': 0.17500001192092896, 'rewards/format_reward_fn/std': 0.06831301003694534, 'rewards/kisan_reward_fn/mean': 0.21875, 'rewards/kisan_reward_fn/std': 0.08139410614967346, 'reward': 0.39375001192092896, 'reward_std': 0.09999770671129227, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 21.395471908152103, 'epoch': 0.33}
{'loss': 0.1139, 'grad_norm': 89.14795684814453, 'learning_rate': 7.4074074074074075e-06, 'num_tokens': 63895.0, 'completions/mean_length': 108.1875, 'completions/min_length': 83.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.25, 'completions/mean_terminated_length': 101.58333587646484, 'completions/min_terminated_length': 83.0, 'completions/max_terminated_length': 119.0, 'rewards/format_reward_fn/mean': 0.15000000596046448, 'rewards/format_reward_fn/std': 0.08944272249937057, 'rewards/kisan_reward_fn/mean': 0.19374999403953552, 'rewards/kisan_reward_fn/std': 0.09639330208301544, 'reward': 0.34375, 'reward_std': 0.1986893266439438, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 113.88370388373733, 'epoch': 0.35}
{'loss': 0.0027, 'grad_norm': 6.182714462280273, 'learning_rate': 7.222222222222223e-06, 'num_tokens': 66978.0, 'completions/mean_length': 112.6875, 'completions/min_length': 77.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.3125, 'completions/mean_terminated_length': 105.72727966308594, 'completions/min_terminated_length': 77.0, 'completions/max_terminated_length': 120.0, 'rewards/format_reward_fn/mean': 0.13750000298023224, 'rewards/format_reward_fn/std': 0.09574271738529205, 'rewards/kisan_reward_fn/mean': 0.17812499403953552, 'rewards/kisan_reward_fn/std': 0.09826622903347015, 'reward': 0.31562501192092896, 'reward_std': 0.2051248848438263, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 2.7172622215002775, 'epoch': 0.37}
{'loss': 2.1055, 'grad_norm': 614.24951171875, 'learning_rate': 7.0370370370370375e-06, 'num_tokens': 70016.0, 'completions/mean_length': 109.875, 'completions/min_length': 77.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.125, 'completions/mean_terminated_length': 107.28572082519531, 'completions/min_terminated_length': 77.0, 'completions/max_terminated_length': 127.0, 'rewards/format_reward_fn/mean': 0.17500001192092896, 'rewards/format_reward_fn/std': 0.06831301003694534, 'rewards/kisan_reward_fn/mean': 0.21875, 'rewards/kisan_reward_fn/std': 0.08139410614967346, 'reward': 0.39375001192092896, 'reward_std': 0.12002841383218765, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 2105.476726014167, 'epoch': 0.38}
{'loss': 0.0017, 'grad_norm': 3.064516305923462, 'learning_rate': 6.851851851851853e-06, 'num_tokens': 73062.0, 'completions/mean_length': 110.375, 'completions/min_length': 80.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.25, 'completions/mean_terminated_length': 104.5, 'completions/min_terminated_length': 80.0, 'completions/max_terminated_length': 125.0, 'rewards/format_reward_fn/mean': 0.15000000596046448, 'rewards/format_reward_fn/std': 0.08944272249937057, 'rewards/kisan_reward_fn/mean': 0.16875000298023224, 'rewards/kisan_reward_fn/std': 0.07500000298023224, 'reward': 0.3187500238418579, 'reward_std': 0.143612802028656, 'frac_reward_zero_std': 0.25, 'completion_length': 128.0, 'kl': 1.6651486307382584, 'epoch': 0.4}
{'loss': 0.001, 'grad_norm': 10.469283103942871, 'learning_rate': 6.666666666666667e-06, 'num_tokens': 76175.0, 'completions/mean_length': 114.5625, 'completions/min_length': 89.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.375, 'completions/mean_terminated_length': 106.5, 'completions/min_terminated_length': 89.0, 'completions/max_terminated_length': 125.0, 'rewards/format_reward_fn/mean': 0.125, 'rewards/format_reward_fn/std': 0.10000000149011612, 'rewards/kisan_reward_fn/mean': 0.16249999403953552, 'rewards/kisan_reward_fn/std': 0.09746795147657394, 'reward': 0.2875000238418579, 'reward_std': 0.19715002179145813, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 1.0312638208270073, 'epoch': 0.42}
{'loss': 76.1371, 'grad_norm': 63748.9609375, 'learning_rate': 6.481481481481482e-06, 'num_tokens': 79199.0, 'completions/mean_length': 109.0, 'completions/min_length': 74.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.3125, 'completions/mean_terminated_length': 100.36363983154297, 'completions/min_terminated_length': 74.0, 'completions/max_terminated_length': 123.0, 'rewards/format_reward_fn/mean': 0.13750000298023224, 'rewards/format_reward_fn/std': 0.09574271738529205, 'rewards/kisan_reward_fn/mean': 0.19062501192092896, 'rewards/kisan_reward_fn/std': 0.10680004954338074, 'reward': 0.328125, 'reward_std': 0.18736052513122559, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 76137.07199831866, 'epoch': 0.43}
{'loss': 0.0044, 'grad_norm': 4.33745813369751, 'learning_rate': 6.296296296296297e-06, 'num_tokens': 82291.0, 'completions/mean_length': 113.25, 'completions/min_length': 89.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.25, 'completions/mean_terminated_length': 108.33333587646484, 'completions/min_terminated_length': 89.0, 'completions/max_terminated_length': 128.0, 'rewards/format_reward_fn/mean': 0.15000000596046448, 'rewards/format_reward_fn/std': 0.08944272249937057, 'rewards/kisan_reward_fn/mean': 0.1875, 'rewards/kisan_reward_fn/std': 0.09219545125961304, 'reward': 0.3375000059604645, 'reward_std': 0.16137488186359406, 'frac_reward_zero_std': 0.25, 'completion_length': 128.0, 'kl': 4.3569858856499195, 'epoch': 0.45}
{'loss': 0.467, 'grad_norm': 571.1179809570312, 'learning_rate': 6.111111111111112e-06, 'num_tokens': 85402.0, 'completions/mean_length': 114.4375, 'completions/min_length': 94.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.25, 'completions/mean_terminated_length': 109.91667175292969, 'completions/min_terminated_length': 94.0, 'completions/max_terminated_length': 125.0, 'rewards/format_reward_fn/mean': 0.15000000596046448, 'rewards/format_reward_fn/std': 0.08944272249937057, 'rewards/kisan_reward_fn/mean': 0.19374999403953552, 'rewards/kisan_reward_fn/std': 0.09639330208301544, 'reward': 0.34375, 'reward_std': 0.1738748848438263, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 466.96083588153124, 'epoch': 0.47}
{'loss': 0.0497, 'grad_norm': 86.07965087890625, 'learning_rate': 5.925925925925926e-06, 'num_tokens': 88485.0, 'completions/mean_length': 112.6875, 'completions/min_length': 77.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.3125, 'completions/mean_terminated_length': 105.72727966308594, 'completions/min_terminated_length': 77.0, 'completions/max_terminated_length': 127.0, 'rewards/format_reward_fn/mean': 0.13750000298023224, 'rewards/format_reward_fn/std': 0.09574271738529205, 'rewards/kisan_reward_fn/mean': 0.17812499403953552, 'rewards/kisan_reward_fn/std': 0.09826622903347015, 'reward': 0.31562501192092896, 'reward_std': 0.2051248848438263, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 49.6566599146463, 'epoch': 0.48}
{'loss': 0.0073, 'grad_norm': 3.4174365997314453, 'learning_rate': 5.740740740740741e-06, 'num_tokens': 91398.0, 'completions/mean_length': 102.0625, 'completions/min_length': 76.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.125, 'completions/mean_terminated_length': 98.35714721679688, 'completions/min_terminated_length': 76.0, 'completions/max_terminated_length': 120.0, 'rewards/format_reward_fn/mean': 0.17500001192092896, 'rewards/format_reward_fn/std': 0.06831301003694534, 'rewards/kisan_reward_fn/mean': 0.19374999403953552, 'rewards/kisan_reward_fn/std': 0.0655108168721199, 'reward': 0.3687500059604645, 'reward_std': 0.09715002030134201, 'frac_reward_zero_std': 0.5, 'completion_length': 128.0, 'kl': 7.296479158103466, 'epoch': 0.5}
{'loss': 0.0192, 'grad_norm': 16.767446517944336, 'learning_rate': 5.555555555555557e-06, 'num_tokens': 94386.0, 'completions/mean_length': 106.75, 'completions/min_length': 83.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.1875, 'completions/mean_terminated_length': 101.84616088867188, 'completions/min_terminated_length': 83.0, 'completions/max_terminated_length': 124.0, 'rewards/format_reward_fn/mean': 0.16249999403953552, 'rewards/format_reward_fn/std': 0.08062257617712021, 'rewards/kisan_reward_fn/mean': 0.19062499701976776, 'rewards/kisan_reward_fn/std': 0.08003906160593033, 'reward': 0.3531250059604645, 'reward_std': 0.14374999701976776, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 19.23619159311056, 'epoch': 0.52}
{'loss': 0.0736, 'grad_norm': 110.63645935058594, 'learning_rate': 5.370370370370371e-06, 'num_tokens': 97411.0, 'completions/mean_length': 109.0625, 'completions/min_length': 89.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.1875, 'completions/mean_terminated_length': 104.69231414794922, 'completions/min_terminated_length': 89.0, 'completions/max_terminated_length': 116.0, 'rewards/format_reward_fn/mean': 0.16249999403953552, 'rewards/format_reward_fn/std': 0.08062257617712021, 'rewards/kisan_reward_fn/mean': 0.20937499403953552, 'rewards/kisan_reward_fn/std': 0.09168560802936554, 'reward': 0.37187498807907104, 'reward_std': 0.1424393206834793, 'frac_reward_zero_std': 0.25, 'completion_length': 128.0, 'kl': 73.63021376356483, 'epoch': 0.53}
{'loss': 0.0683, 'grad_norm': 200.2816925048828, 'learning_rate': 5.185185185185185e-06, 'num_tokens': 100485.0, 'completions/mean_length': 112.125, 'completions/min_length': 85.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.3125, 'completions/mean_terminated_length': 104.90909576416016, 'completions/min_terminated_length': 85.0, 'completions/max_terminated_length': 127.0, 'rewards/format_reward_fn/mean': 0.13750000298023224, 'rewards/format_reward_fn/std': 0.09574271738529205, 'rewards/kisan_reward_fn/mean': 0.171875, 'rewards/kisan_reward_fn/std': 0.09303898364305496, 'reward': 0.30937498807907104, 'reward_std': 0.19855213165283203, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 68.25041162967682, 'epoch': 0.55}
{'loss': 0.0007, 'grad_norm': 10.851755142211914, 'learning_rate': 5e-06, 'num_tokens': 103497.0, 'completions/mean_length': 108.25, 'completions/min_length': 78.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.3125, 'completions/mean_terminated_length': 99.2727279663086, 'completions/min_terminated_length': 78.0, 'completions/max_terminated_length': 120.0, 'rewards/format_reward_fn/mean': 0.16250000894069672, 'rewards/format_reward_fn/std': 0.0806225836277008, 'rewards/kisan_reward_fn/mean': 0.203125, 'rewards/kisan_reward_fn/std': 0.08844725787639618, 'reward': 0.3656250238418579, 'reward_std': 0.13085192441940308, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 0.7330992668867111, 'epoch': 0.57}
{'loss': 0.0009, 'grad_norm': 8.589658737182617, 'learning_rate': 4.814814814814815e-06, 'num_tokens': 106391.0, 'completions/mean_length': 100.875, 'completions/min_length': 71.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 100.875, 'completions/min_terminated_length': 71.0, 'completions/max_terminated_length': 128.0, 'rewards/format_reward_fn/mean': 0.20000000298023224, 'rewards/format_reward_fn/std': 0.0, 'rewards/kisan_reward_fn/mean': 0.2562499940395355, 'rewards/kisan_reward_fn/std': 0.051234759390354156, 'reward': 0.45624998211860657, 'reward_std': 0.05193375423550606, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 0.9477306976914406, 'epoch': 0.58}
{'loss': 0.0006, 'grad_norm': 8.203376770019531, 'learning_rate': 4.62962962962963e-06, 'num_tokens': 109415.0, 'completions/mean_length': 109.0, 'completions/min_length': 92.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.0625, 'completions/mean_terminated_length': 107.73333740234375, 'completions/min_terminated_length': 92.0, 'completions/max_terminated_length': 128.0, 'rewards/format_reward_fn/mean': 0.1875, 'rewards/format_reward_fn/std': 0.05000000074505806, 'rewards/kisan_reward_fn/mean': 0.22187499701976776, 'rewards/kisan_reward_fn/std': 0.0657489001750946, 'reward': 0.40937501192092896, 'reward_std': 0.08033377677202225, 'frac_reward_zero_std': 0.25, 'completion_length': 128.0, 'kl': 0.623724739998579, 'epoch': 0.6}
